Index,Tickets Key,Resolution Date
286,STDCXX-453,2007-10
287,STDCXX-560,2007-10
288,STDCXX-568,2007-10
289,STDCXX-561,2007-10
290,STDCXX-576,2007-10
291,STDCXX-564,2007-10
292,STDCXX-575,2007-10
293,STDCXX-222,2007-10
294,STDCXX-259,2007-10
295,STDCXX-309,2007-10
296,STDCXX-318,2007-10
297,STDCXX-313,2007-10
298,STDCXX-262,2007-10
299,STDCXX-589,2007-10
300,STDCXX-588,2007-10
301,STDCXX-590,2007-10
302,STDCXX-586,2007-10
303,STDCXX-407,2007-10
304,STDCXX-278,2007-10
305,STDCXX-574,2007-10
306,STDCXX-206,2007-10
307,STDCXX-393,2007-10
308,STDCXX-599,2007-10
309,STDCXX-598,2007-10
310,STDCXX-109,2007-10
311,STDCXX-509,2007-10
312,STDCXX-505,2007-10
313,STDCXX-350,2007-10
314,STDCXX-609,2007-10
315,STDCXX-125,2007-10
316,STDCXX-611,2007-10
317,STDCXX-552,2007-10
318,STDCXX-437,2007-10
319,STDCXX-621,2007-10
320,STDCXX-634,2007-11
321,STDCXX-652,2007-11
322,STDCXX-651,2007-11
323,STDCXX-654,2007-11
324,STDCXX-657,2007-11
325,STDCXX-616,2007-11
326,STDCXX-658,2007-11
327,STDCXX-659,2007-11
328,STDCXX-662,2007-11
329,STDCXX-578,2007-11
330,STDCXX-619,2007-11
331,STDCXX-601,2007-11
332,STDCXX-596,2007-11
333,STDCXX-593,2007-11
334,STDCXX-587,2007-11
335,STDCXX-584,2007-11
336,STDCXX-582,2007-11
337,STDCXX-581,2007-11
338,STDCXX-580,2007-11
339,STDCXX-579,2007-11
340,STDCXX-661,2007-11
341,STDCXX-669,2007-11
342,STDCXX-558,2007-11
343,STDCXX-557,2007-11
344,STDCXX-594,2007-11
345,STDCXX-617,2007-11
346,STDCXX-607,2007-11
347,STDCXX-606,2007-11
348,STDCXX-649,2007-11
349,STDCXX-671,2007-11
350,STDCXX-637,2007-11
351,STDCXX-307,2007-11
352,STDCXX-623,2007-11
